text,classes
এই নাটকটি হচ্ছে ১৯৯৩ সালের। কিন্তু তখন ইউটিউব ছিলোনা। ইউটিউব আবিষ্কার হয় ২০০৫ সালে। নাটকটি অনেক পুরনো তবুও ২০২১-এর পর থেকে আমরা কে কে শখ করে দেখতেছি!? 💞,joy
২০২১ সালে যারা “ কোথাও কেউ নেই ” দেখতে আসে - তাদের রুচির প্রশংসা না করে পারছি না,surprise
"বাংলাদেশের ইতিহাসে সর্বশ্রেষ্ঠ নাটক ""কোথাও কেউ নেই"" ♥️",joy
"এতো সুন্দর নাটক আগে কখনো দেখা হয় নাই,2021 সালে দেখলাম 👌
বেশ কয়েকবার চোখের জল ধরে রাখতে পারি নাই নাটকটা দেখে😢
বাংলাদেশের শ্রেষ্ঠ নাটক 💓💖",joy
"কখনো চিন্তাও করিনি জন্মের ৭-৮ বছর আগের নাটক দেখবো তাও আবার ভালোবাসা নিয়ে ❤️
২৭/০৯/২১ থেকে যারা প্রথম দেখবেন লাইক দিবেন কমেন্টে..",surprise
আসলেই দিন শেষে আমরা সবাই একা 🥺 সত্যি জন্মের ১০ বছর আগে  একটি  নাটক দেখে অনেক কিছু বুঝতে ও শিখতে পারলাম🙂 ৭/০১/২০২২,joy
"29 বছর পর আজকে দেখলাম(১৫,০২,২২)।বাবার মুখে এই নাটকটির কথা  অনেক শুনেছি। শুনেই দেখার ইচ্ছা হত।  আজকে দেখেই ফেললাম।দেখে সত্যিই খুব ভালো লাগছে❤️",joy
"সত্যের জয় সবসময় হয় নাহ্! এমন হাজারও বাকের আছে মিথ্যের কারণে চলে যেতো হয়! 
সত্যি কোথাও কেউ নেই!",sadness
"এখানে কেউ দ্বিমত পোষণ করতে পারবে না যে এটা বাংলাদেশের সেরা নাটক, ✌️
কি নিদারুণ অভিনয় করেছে সবাই,❤️",joy
-২০২২ সালে এসেও কারা কারা @হুমায়ূন আহমেদ স্যারের কালজয়ী নাটকটি দেখছেন তারা লাইক দিন🖤😍?,joy
"শেষটা এমন হবে জানলে নাটকটা দেখতাম না😪 হাসতে হাসতে কষ্ট পাচ্ছি, কষ্ট শেষ না হতেই আবার হাসতেছি, পরিশেষে অনবরত দুচোখ দিয়ে পানি পরতেছে। কি অসাধারণ নাটক! এখনো মনে হয় নাটকটা থেকে বের হতে পারছি না😥 বাকের ভাইকে ফাঁশি না দিলেও পারতো😪 মুনার জন্য খুব কষ্ট লাগতেছে😪।",sadness
2022 সালে কে কে দেখতেছেন হুমায়ুন স্যারের এই অসাধারণ সৃষ্টিটি??,joy
"নাটকটি দেখে কান্না চলে আসছে।।শুধু ""মুনা""আর বাকের ভাইয়ের কথা মাথায় ঘুরছে।।।বাকের ভাই ফাসি ঠেকাতে আন্দোলন করতে মনে চাচ্ছে।।। ❤️সেরা নাটক",surprise
"মুনাকে একা রেখে সবাই চলে গেছে। নাটকের শেষ দৃশ্য দেখে চোখের পানি ধরে রাখতে পারিনি।😭😭 তখনই বুঝলাম নাটকের নাম কেনো, কোথাও কেউ নেই।",sadness
"1993, আমার বয়স তখন দশ বছর, তখনই  এতো ভালো লেগেছিল নাটকটা, এই নাটকে দুটো ম্যসেজ আছে বর্তমানের জন্য, ১. মধ্য বিত্তদের জীবন প্রকৃত অর্থে এমন ২.মাস্তান শুধু খারাপ কাজের জন্য নয় ভালো কাজের জন্য ও হওয়া যায়।",joy
গল্প আর অভিনয় দিয়ে যে অতি সহযজেই মানুষের চোখের জল ঝরানো সম্ভব এটি তার বাস্তব প্রমান...,joy
দুই দিন থেকে দেখতে দেখতে এখন রাত্রি 2:18 তে কাঁদতে কাঁদতে শেষ করলাম😭😭 18/08/2021 ❤️Love you বাকের ভাই। আপনার বেশির ভাগ নাটকেই কেন কাঁদতে হয় স্যার (লেখা- হুমায়ুন আহমেদ স্যার)।,sadness
"এই নাটকটি হচ্ছে ১৯৯৩ সালের,কিন্তু বর্তমান সময়ে ও মনজয়ীকারি একটি নাটক।",joy
"হয়তো আমাদের এই জেনারেশন, সময় নিয়ে এই নাটক টা দেখবে না। কিন্তু হুমায়ুন আহমেদ স্যার এর এই নির্মাণ যে একবার দেখেছে সে কখনো ভুলতে পারবে না।",surprise
"-২০২২ সালে এসেও যারা হুূমায়ুন আহমেদ স্যারের কালজয়ী এই নাটক টি দেখছেন তাদের রুচিবোধের প্রশংসা করতে হয়, যারা দেখছেন তারা লাইক দিন!👍😍",joy
"আবুল হায়াত স্যারের মতো আমাদের অনেকর বাবা অল্পতেই রেগে যান।কিন্তু তাদের মন অনেক কোমল যা কাছে না থাকলে বোঝা যায় না। 
বেঁচে থাকুক আমাদের বাবারা 🥰",joy
আজ রবিবার হলো অট্টহাসির নাটক আর নক্ষত্রের রাত হলো মুচকি হাসির নাটক।,joy
"এই নাটকগুলো দেখলে মনটা শান্তি হয়ে যায়, মনে হয় না পৃথিবীতে কোন অশান্তি  আছে,মন চায় আগের দিনগুলোতে ফিরে যাই,ডিজিটাল পৃথিবী চাইনা, আগের দিনগুলো চাই।",joy
"অামাদের পরের প্রজন্ম হয়তো এসব কোনোদিন দেখবেনা কিংবা এই প্রিয় মুখগুলোকেও চিনবেনা... কিন্তু অামরা কোনোদিন এসব সোনালী দিন ভুলতে পারবোনা... স্মৃতি রেখে গেলাম🙂
০৫.১২.২০২০",joy
"আহারে!!!!
এখনকার অভিনেত্রীদের সবার শমীর অভিনয় দেখে শেখা উচিত।",disgust
এই বাড়ির বড় মেয়ের মতো যদি প্রত‍্যেকটি মেয়ের মন মানসিকতা থাকত তাহলে দেশের দুর্নীতিবাজদের সংখ্যা অনেক কমে যেত,joy
"রাত৮.০০ থেকে শুরু করে সকাল ৬.৫৫ am পর্যন্ত  নাটকটি দেখে শেষ করলাম। আমি অভিভূত।
প্রতিটি সেকেন্ড এমন যাদুকরী মনে হয়েছে যে, সম্পূর্ণ নাটক না টেনেই দেখেছি।
অনবদ্য অভিনয় করেছেন আবুল হায়াত, আব্দুল কাদের ও আসাদুজ্জামান নূর।
শমী কায়সারের অভিনয়ও চমৎকার হয়েছে। 
তবে বাকের ভাই খ্যাত ""কোথাও কেউ নেই"" নাটকের সূবর্না মুস্তফার অভিনয়ে আমি তার প্রেমে পড়েছি।",joy
৫০ বছর পরেও মানুষ এইসব নাটক খুজে দেখবে......,joy
"আচ্ছা মা, পিঁপড়ার মৃত্যুতে বাবা এত আপসেট হলো কেন? আপসেট হবে তো ওই পিঁপড়ার আত্মীয় স্বজনরা!!😆😆🤣
_মজা পেলাম😇😇🧡",joy
"স্যারের যে নাটকই দেখি,মনে হয় এটাই সেরা । আসলে তাঁর প্রত্যেকটি কর্মই অনন্য।",joy
"এরকম নাটক বারবার দেখেও বিরক্ত লাগে না, এমন লেখক আর দ্বিতীয় একজন হবে না, যার নাম হুমায়ুন আহমেদ আল্লাহ তাকে জান্নাতবাসী করুক।।",joy
